,led_id,x_cord,y_cord
0,9,537.0992101105845,342.9424960505529
1,8,432.1077057793345,310.82399299474605
2,48,462.64260305503245,483.9301109018623
3,49,376.83501161890007,392.6591789310612
4,12,532.9650519031142,374.4657439446367
5,13,580.5679808841099,479.19808841099166
6,39,679.9488491048594,374.61700767263426
7,11,592.1023181454837,260.6410871302958
8,10,660.227898966705,325.0631458094145
9,38,728.1319358816277,273.2694204685573
10,14,664.4402985074627,405.5612562189055
11,28,366.21718494271687,270.80212765957447
12,29,371.99149425287357,384.1197701149425
13,15,573.3016393442623,375.0273224043716
14,17,431.1516936671576,369.72459499263624
15,16,489.2496951962936,464.82638380882713
16,33,599.2264381884945,364.03182374541
17,27,439.5071393402265,145.5017232890202
18,26,499.2621247113164,215.24480369515013
19,32,517.4259958071278,430.6616352201258
20,18,476.1024154589372,262.8396135265701
21,24,578.3051401869159,266.6247663551402
22,30,370.7023560990158,248.87772144348344
23,31,481.571154767609,312.17632965979874
24,25,463.79814155792803,220.26235666271253
25,19,438.2225666460012,146.33415995040298
26,21,654.8020818479965,189.49721944959362
27,35,497.3592728432467,135.58682825705628
28,34,553.0391841116478,252.48040794417605
29,20,534.4694631951141,129.0559305689489
30,36,634.7724631202503,138.10907465355388
31,22,731.4397772104896,272.998839637967
32,23,650.2105649303008,375.19369038884815
33,37,598.3450917153799,237.18000403144526
34,3,367.1847599164927,243.41649269311065
35,44,439.8946354883081,472.7551581843191
36,45,438.0826639892905,306.5431726907631
37,2,462.8329281767956,186.45348066298342
38,0,612.2639947723808,143.04726639076455
39,47,586.3443526170798,425.13039485766757
40,46,563.3193204094969,302.7621433238946
41,1,573.6394107600341,240.35781383432962
42,5,539.9730200174064,385.3759791122715
43,42,699.2380317178005,328.242922780495
44,43,596.2387815263675,423.00655093350804
45,4,458.8556263269639,305.5435244161359
46,6,492.16180371352783,487.5893899204244
47,41,624.0854526958291,237.4557477110885
48,40,585.2611821086261,321.63658146964855
49,7,395.062893081761,414.41509433962267
